Category	Feature	Problem	Solution	Implementation	CLR_Enhanced	Tables	Procedures	Views
Core Database	Application State Machine	Invalid status transitions break hiring workflow	ApplicationStatuses table with 8 defined states. Stored procedures enforce valid transitions.	ApplicationStatuses, sp_UpdateApplicationStatus with validation	No	ApplicationStatuses, Applications	sp_UpdateApplicationStatus, sp_HireCandidate, sp_RejectCandidate	
Core Database	Candidate Interview Confirmation	No way to confirm interview attendance	Allows candidates to confirm with ownership validation	sp_ConfirmInterview	No	InterviewSchedules, Applications	sp_ConfirmInterview	
Core Database	Concurrency-Safe Hiring	Race conditions when multiple recruiters hire simultaneously	UPDLOCK, HOLDLOCK hints in transaction for atomic vacancy updates	sp_HireCandidate with locking hints, terminal state guard (FIX-04)	No	Applications, Jobs	sp_HireCandidate	
Core Database	Email Notification Queue	No automatic notifications for candidates	EmailQueue table populated by triggers. Backend service processes asynchronously.	trg_SendInterviewEmail populates EmailQueue	Yes - ValidateEmail, IsDisposableEmail for validation (FIX-06)	EmailQueue		
Core Database	Interview Feedback System	Subjective hiring decisions without structured evaluation	Technical, communication, culture scores with interviewer consistency analytics	InterviewFeedback with TechnicalScore, CommunicationScore, CultureFitScore	Yes - CalculateSentiment for comments, StandardDeviation for consistency	InterviewFeedback		vw_InterviewerConsistency, vw_InterviewerPerformance
Core Database	Recruiter Authorization Check	Non-recruiters can schedule interviews	Validates UserID is registered as Recruiter before scheduling	sp_ScheduleInterviewWithRecruiter	No	InterviewSchedules, Recruiters	sp_ScheduleInterviewWithRecruiter	
Core Database	Role-Based Access Control (RBAC)	Unauthorized users could access/modify sensitive data	Roles table with Admin, Recruiter, Candidate, Hiring Manager roles. Users table links to roles.	Roles, Users tables with RoleID FK	No	Roles, Users		
Core Database	Smart Interview Scheduling	Double-booking recruiters for interviews	Trigger checks overlapping time slots before insert. Unique constraint enforces uniqueness.	trg_PreventDoubleBooking, UQ_InterviewSlot unique constraint	Yes - ConvertTimezone for global scheduling	InterviewSchedules	sp_ScheduleInterviewWithTimezone (CLR-enhanced)	
Core Database	Weighted Candidate Matching	Finding best candidates manually is time-consuming	Skill proficiency + experience + location scoring with mandatory skill filtering	CandidateSkills with ProficiencyLevel, YearsExperience weighting	Yes - CosineSimilarity for skill text matching	CandidateSkills, JobSkills, Skills	sp_AdvancedCandidateMatching	vw_CandidateMatchScore
Core Database	Candidate Ranking History	Can't explain historical ranking decisions	CandidateRankingHistory stores match scores with timestamps	CandidateRankingHistory table, sp_SaveCandidateRanking	No	CandidateRankingHistory	sp_SaveCandidateRanking	
Core Database	Data Archiving & GDPR Compliance	Old data slows performance, GDPR requires PII anonymization	Archive procedures move old records and anonymize PII (email, name, resume)	sp_ArchiveOldData, sp_AnonymizeArchivedCandidates, JobPostingsArchive	No	ApplicationsArchive, JobPostingsArchive	sp_ArchiveOldData, sp_AnonymizeArchivedCandidates	
Core Database	Soft Delete Pattern	Hard deletes lose referential integrity and audit trail	IsDeleted flag on all major tables. Archive procedures mark as deleted.	IsDeleted BIT column on Applications, Jobs, Candidates, etc.	No	All major tables	sp_ArchiveOldData	
Core Database	Application Withdrawal	Candidates need way to withdraw with reason tracking	sp_WithdrawApplication with reason tracking and status history	sp_WithdrawApplication, WithdrawnAt, WithdrawalReason fields	No	Applications	sp_WithdrawApplication	
Core Database	Automatic Audit Logging	No trail of who changed what for compliance	Triggers on all major tables log changes to AuditLog with fn_GetCurrentUserID() (FIX-03)	AuditLog table, audit triggers on 10+ tables	No	AuditLog		
Core Database	Instant Auto-Rejection	Manual screening of unqualified candidates wastes time	Trigger auto-rejects on insert if experience < minimum. SP handles batch sweep (FIX-07)	trg_InstantAutoReject on Applications, sp_AutoRejectUnqualified for batch	No	Applications, Jobs	sp_AutoRejectUnqualified	
Advanced Features	Anti-Ghosting Risk Prediction	50% ghosting rate by candidates or recruiters	Analyzes ghosting history, response times, communication frequency	sp_PredictGhostingRisk	No	GhostingPatterns, CommunicationLogs	sp_PredictGhostingRisk	vw_GhostingRiskDashboard
Advanced Features	Automated Screening Bot	Initial screening time-consuming	Rules-based auto-screening with confidence scoring	ScreeningBotDecisions with Decision, Confidence, AutoRejectReason	Yes - Multiple CLR functions	ScreeningBotDecisions	sp_AutoScreenApplicationEnhanced	
Advanced Features	Enhanced Diversity Analytics	DEI efforts performative without impact	Anonymized funnel, bias detection, diversity goals tracking	DiversityMetrics, DiversityGoals, BiasDetectionLogs	No	DiversityMetrics, DiversityGoals, BiasDetectionLogs		vw_DiversityAnalyticsFunnel
Advanced Features	External Platform Sync	Manual job posting to multiple platforms	Auto-sync with LinkedIn, Indeed, Glassdoor with error retry	ExternalPlatformSync with bidirectional sync	Yes - CallRESTApi	ExternalPlatformSync		
Advanced Features	GDPR Consent Management	No tracking of data processing consent	Consent versioning, expiry tracking, revocation support	ConsentManagement with ConsentType, ConsentVersion, ExpiryDate	No	ConsentManagement	sp_CheckConsentExpiry	
Advanced Features	Interview Fatigue Reducer	Candidates repeat same questions across rounds	Tracks questions asked, detects redundancy, optimizes rounds	InterviewSharedInsights, sp_OptimizeInterviewRounds	No	InterviewSharedInsights, CandidateInterviewHistory	sp_OptimizeInterviewRounds	
Advanced Features	Predictive Hiring Success (Rules-Based AI)	Hiring decisions based on gut feeling	Rules-based scoring: skill match + experience + interview scores + culture fit	AI_Predictions table with SuccessProbability, KeyFactors	Yes - Multiple CLR functions in scoring	AI_Predictions	sp_PredictHireSuccess	
Advanced Features	Push Notification System	Email-only notifications insufficient for mobile	Multi-platform push notification delivery tracking	PushNotifications with Platform, DeviceToken, DeliveryStatus	No	PushNotifications		
Advanced Features	Remote Work Compatibility Scorecard	Remote mismatches cause turnover; not everyone thrives remotely	Assessment of workspace, timezone, communication style, self-motivation	RemoteCompatibility, CompanyRemotePolicy, TimezoneOverlapAnalysis tables	Yes - CalculateTimezoneOverlap	RemoteCompatibility, CompanyRemotePolicy, TimezoneOverlapAnalysis		vw_RemoteCompatibilityMatrix (FIX-08 optimized)
Advanced Features	Resume Quality Scoring	Manual resume screening time-consuming	NLP extracts education, certs, tech, leadership, quality score	ResumeInsights with quality scoring	Yes - ExtractSkills, ExtractYearsOfExperience, Sentiment	ResumeInsights, CandidateDocuments		
Advanced Features	Salary Transparency & Negotiation Coach	Opaque ranges, lack negotiation guidance	Market benchmarks + AI negotiation strategy with scripts	SalaryBenchmarks, NegotiationHistory, sp_GenerateNegotiationStrategy	No	SalaryBenchmarks, JobSalaryRanges, NegotiationHistory, NegotiationTemplates	sp_GenerateNegotiationStrategy	vw_SalaryTransparency
Advanced Features	Skill Verification & Assessments	30% resume fraud, skills decay	Live assessments with expiration dates, multiple verification methods	MicroAssessments, SkillVerifications, AssessmentAttempts	No	MicroAssessments, SkillVerifications, AssessmentAttempts		vw_SkillVerificationStatus
Advanced Features	Blockchain Credential Verification	Fake degrees/certificates, credential fraud	SHA-256 hashing with blockchain transaction tracking	BlockchainVerifications with CredentialHash, TransactionID, Network	No	BlockchainVerifications		
Advanced Features	Interview Transcription & Analysis	No record of interview discussions	Audio/video transcription with keyword extraction	InterviewTranscriptions with FullText, filler word detection, KeyTopics, ActionItems	Yes - CalculateSentiment	InterviewTranscriptions		
Advanced Features	AI Interview Question Generator	Unprepared interviewers, inconsistent questions	Rules-based question generation by skill, role, difficulty level	AI_GeneratedQuestions with QuestionType, DifficultyLevel, ScoringRubric	No	AI_GeneratedQuestions	sp_GenerateInterviewQuestions	
Advanced Features	Background Check Integration	Manual background check tracking	Multi-type checks (Criminal, Education, Employment, Credit, etc) with vendor integration	BackgroundChecks with risk scoring	Yes - CallRESTApi for vendors	BackgroundChecks		
Advanced Features	Candidate Sentiment Tracking	Can't measure candidate satisfaction through process	Sentiment analysis on emails, interviews, chats with emotion breakdown	CandidateSentiment with SentimentScore, EmotionBreakdown, RedFlags	Yes - CalculateSentiment	CandidateSentiment		
Advanced Features	Career Path Simulator	Unclear career growth trajectories	Predicts paths with probabilities, skill gaps, salary increases	CareerPaths, RoleArchetypes, sp_PredictCareerPath	No	CareerPaths, RoleArchetypes, CandidateCareerGoals, LearningResources	sp_PredictCareerPath	vw_CareerPathInsights
Advanced Features	Chatbot Interactions	24/7 candidate support unavailable	FAQ chatbot with interaction logging and satisfaction tracking	ChatbotInteractions with Intent, Response, SatisfactionRating	No	ChatbotInteractions		
Advanced Features	Chatbot Support System	24/7 candidate support unavailable	Intent recognition, entity extraction, human escalation	ChatbotInteractions with confidence scoring	No	ChatbotInteractions		
Advanced Features	Gamification System	Low candidate engagement	Points, levels, badges, streaks for profile completion, applications, etc.	CandidateGamification, GamificationActions tables	No	CandidateGamification, GamificationActions	sp_AwardGamificationPoints	Leaderboard (Points DESC, Level DESC index)
Advanced Features	Interview Preparation Materials	Candidates unprepared for interviews	Job-specific prep materials with difficulty levels	InterviewPrepMaterials with ContentType, DifficultyLevel	No	InterviewPrepMaterials	sp_GenerateInterviewPrep	
Advanced Features	Interview Preparation System	Candidates unprepared for interviews	Job-specific prep materials with confidence tracking	InterviewPrepMaterials, sp_GenerateInterviewPrep	No	InterviewPrepMaterials, CandidatePrepProgress	sp_GenerateInterviewPrep	
Advanced Features	Location Preferences & Flexibility	No tracking of location flexibility	Preferred locations, relocation, remote preference, commute limits	CandidateLocationPreferences	No	CandidateLocationPreferences		
Advanced Features	Onboarding Success Predictor	20% leave within 45 days	Predicts failure risk, creates personalized checklists	OnboardingSuccessFactors, sp_PredictOnboardingSuccess	No	OnboardingSuccessFactors, OnboardingChecklists, OnboardingPredictions	sp_PredictOnboardingSuccess	
Advanced Features	Personalized Learning Paths	Candidates lack skill development guidance	Skill gap identification with resource recommendations	PersonalizedLearningPaths, sp_GenerateLearningPath	No	PersonalizedLearningPaths, LearningResources	sp_GenerateLearningPath	
Advanced Features	Referral Intelligence Engine	Employee referrals underutilized	Maps social networks, suggests high-probability referrals	ReferralNetwork, NetworkStrength, sp_SuggestReferrals	No	ReferralNetwork, NetworkStrength, ReferralPerformance, NetworkAnalysis	sp_SuggestReferrals	vw_ReferralIntelligence
Advanced Features	Role-Based Data Masking	Different roles need different data access	Returns masked/anonymized data by user role (Admin/Recruiter/Analyst)	sp_GetMaskedCandidateData	No	Candidates, Users	sp_GetMaskedCandidateData	
Advanced Features	Video Interview Integration	External video platform coordination	Tracks Zoom/Teams/Meet/HireVue with recording consent and AI analysis	VideoInterviews with platform tracking	No	VideoInterviews		
Advanced Features	Video Interview Platform	External video platform integrations	Video interview tracking with recording storage	VideoInterviews with VideoURL, Duration, QualityScore	No	VideoInterviews		
Analytics	Application Funnel	Can't see conversion rates through hiring stages	Count of applications in each status	vw_ApplicationFunnel	No	ApplicationStatus, Applications		vw_ApplicationFunnel
Analytics	Average Time-to-Hire	Need overall hiring speed metric	Single aggregate showing average days to hire	vw_AverageTimeToHire	No	Applications		vw_AverageTimeToHire
Analytics	Bias Detection Analytics	Unconscious bias can't be detected manually	Views show hiring rates by location, experience, demographics	vw_Bias_Location, vw_Bias_Experience with demographic funnel analysis	No	Applications, Candidates		vw_Bias_Location, vw_Bias_Experience
Analytics	Candidate Interview Schedule View	No unified view of candidate interviews with job details	View showing interviews with job title, recruiter, time status	vw_CandidateInterviews	No	InterviewSchedules, Applications, Jobs		vw_CandidateInterviews
Analytics	Diversity Funnel Analytics	Can't measure DEI impact through stages	Anonymized demographics through application to hire	vw_DiversityAnalyticsFunnel	No	DiversityMetrics, Applications		vw_DiversityAnalyticsFunnel
Analytics	Ghosting Risk Dashboard	No early warning for ghosting	Real-time monitoring with candidate/recruiter scores	vw_GhostingRiskDashboard	No	GhostingPatterns, CommunicationLogs		vw_GhostingRiskDashboard
Analytics	Hire Rate Per Job	Can't measure job posting effectiveness	Applications vs hires ratio with percentage per job	vw_HireRatePerJob	No	JobPostings, Applications		vw_HireRatePerJob
Analytics	Hiring Bottleneck Detection	Can't identify which stage slows hiring	Average days applications spend in each status	vw_HiringBottlenecks with stage duration tracking	Yes - CalculateBusinessDays for accurate metrics	Applications, ApplicationStatusHistory		vw_HiringBottlenecks
Analytics	Market Intelligence Dashboard	No real-time market demand visibility	Skill demand vs supply, salary trends, hiring difficulty	MarketIntelligence table with DemandScore, SupplyScore, TrendDirection	No	MarketIntelligence, Skills	sp_GenerateMarketAlerts (FIX-09 table variable)	vw_MarketIntelligenceDashboard
Analytics	Recruiter Performance	No visibility into recruiter productivity	Interviews conducted and successful hires per recruiter	vw_RecruiterPerformance	No	Recruiters, InterviewSchedules		vw_RecruiterPerformance
Analytics	Salary Transparency Analytics	Unknown impact of salary disclosure	Correlates transparency with application volume	vw_SalaryTransparency	No	JobSalaryRanges, SalaryBenchmarks		vw_SalaryTransparency
Analytics	Silent Rejection Detector	Candidates left in limbo damage employer brand	Flags applications inactive >30 days without updates	vw_SilentRejections with inactivity threshold alerts	Yes - GetRelativeTime for human-readable display	Applications		vw_SilentRejections
Analytics	Vacancy Utilization Analytics	Can't track filled positions vs total applications	Shows remaining vacancies vs applications vs hires per job	vw_VacancyUtilization with filled positions calculation	No	Jobs, Applications		vw_VacancyUtilization
Analytics	Candidate Engagement Scoring	Can't measure candidate responsiveness	Interview confirmations vs scheduled, engagement rate	vw_CandidateEngagement	No	Candidates, InterviewSchedules		vw_CandidateEngagement
Analytics	Career Path Insights	No visibility into career progression	Shows target roles, transition probability, skills	vw_CareerPathInsights	No	CandidateCareerGoals, CareerPaths		vw_CareerPathInsights
Analytics	Interview Score vs Decision	Unknown relationship between scores and outcomes	Average interview scores with final decision	vw_InterviewScoreVsDecision	Yes - CorrelationCoefficient	InterviewFeedback, Applications		vw_InterviewScoreVsDecision
Analytics	Interviewer Consistency Monitoring	Interviewers with extreme scoring patterns skew results	Shows average scores and variance per interviewer	vw_InterviewerConsistency with score variance tracking	Yes - StandardDeviation, Percentile for statistical analysis	InterviewFeedback, Users		vw_InterviewerConsistency, vw_InterviewerPerformance
Analytics	Referral Intelligence Dashboard	Can't analyze referral effectiveness	Tracks referrer quality, outcomes, network strength	vw_ReferralIntelligence	No	ReferralNetwork, NetworkStrength		vw_ReferralIntelligence
Analytics	Rejection Reason Analysis	No insights into why candidates are rejected	Aggregates rejection reasons with counts and percentages	vw_RejectionAnalysis	No	Applications		vw_RejectionAnalysis
Analytics	Skill Gap Analysis	Can't identify high-demand skills lacking in pool	Shows difference between job requirements vs candidate skills	vw_SkillGapAnalysis, demand-supply calculation	No	Skills, JobSkills, CandidateSkills		vw_SkillGapAnalysis
Analytics	Skill Verification Status	No visibility into verified vs claimed skills	Shows claimed vs verified levels with expiry	vw_SkillVerificationStatus	No	CandidateSkills, SkillVerifications		vw_SkillVerificationStatus
Analytics	Time-to-Hire Individual Metrics	Can't track hiring timeline per candidate	Days from application to hire for each candidate	vw_TimeToHire	Yes - CalculateBusinessDays	Applications, ApplicationStatusHistory		vw_TimeToHire
CLR - API	CallRESTApi	Manual API integration for external services	Generic HTTP client wrapper (GET/POST/PUT/DELETE)	ApiIntegration.CallRESTApi() - Returns NVARCHAR(MAX) JSON	Yes - Core CLR (Requires EXTERNAL_ACCESS)			
CLR - API	GeocodeAddress	Text addresses unusable for location-based matching	OpenStreetMap Nominatim (free) or Google Maps geocoding	ApiIntegration.GeocodeAddress() - Returns NVARCHAR(MAX) JSON	Yes - Core CLR (Requires EXTERNAL_ACCESS)			Location-based matching
CLR - API	VerifyLinkedInProfile	Manual LinkedIn profile verification	HEAD request to check URL existence (handles 999 bot-protection)	ApiIntegration.VerifyLinkedInProfile() - Returns NVARCHAR(MAX) JSON	Yes - Core CLR (Requires EXTERNAL_ACCESS)	Candidates.LinkedInURL		
CLR - Date/Time	CalculateBusinessDays	Calendar days inaccurate for SLA calculations	Business day counting excluding weekends (Mon-Fri only)	DateTimeFunctions.CalculateBusinessDays() - Returns INT	Yes - Core CLR			vw_HiringBottlenecks, time-to-hire metrics
CLR - Date/Time	GetRelativeTime	Inhuman date display (2024-01-15 14:30)	Human-readable timestamps (2 hours ago, 3 days ago)	DateTimeFunctions.GetRelativeTime() - Returns NVARCHAR(100)	Yes - Core CLR			vw_SilentRejections, activity feeds
CLR - Date/Time	AddBusinessDays	Incorrect scheduling across weekends	Business-aware date arithmetic skipping weekends	DateTimeFunctions.AddBusinessDays() - Returns DATETIME	Yes - Core CLR		SLA deadline calculations	
CLR - Date/Time	IsWithinWorkingHours	Interviews scheduled outside business hours	Working hours validation (weekdays 9-5 default)	DateTimeFunctions.IsWithinWorkingHours() - Returns BIT	Yes - Core CLR		Interview scheduling validation	
CLR - Document	ExtractTextFromDocx	Word document resumes unreadable by database	OpenXML ZIP parsing to extract text from document.xml	DocumentParser.ExtractTextFromDocx() - Returns NVARCHAR(MAX)	Yes - Core CLR	Candidates.ResumeFile (VARBINARY) → ResumeText		
CLR - Document	ExtractTextFromPDF	Manual reading of PDF resumes	Regex-based text extraction from PDF binary (no external library)	DocumentParser.ExtractTextFromPDF() - Returns NVARCHAR(MAX)	Yes - Core CLR	Candidates.ResumeFile (VARBINARY) → ResumeText		
CLR - Document	ExtractYearsOfExperience	Manual experience extraction from resumes	Pattern matching for '5 years', '3+ years', '2-4 years', etc.	DocumentParser.ExtractYearsOfExperience() - Returns INT	Yes - Core CLR	Candidates.YearsExperience		
CLR - Email	IsDisposableEmail	Temporary/fake email registration	Domain blacklist check against 50+ disposable providers	EmailValidator.IsDisposableEmail() - Returns BIT	Yes - Core CLR	Used in registration validation		
CLR - Email	ValidateEmail	Basic LIKE pattern insufficient for email validation	RFC-5322 regex validation with proper format checking	EmailValidator.ValidateEmail() - Returns BIT (1=valid, 0=invalid)	Yes - Core CLR	Used in Users, Candidates triggers		
CLR - Email	ExtractEmailDomain	Domain-based analytics impossible	Extracts domain portion from email for analytics	EmailValidator.ExtractEmailDomain() - Returns NVARCHAR(255)	Yes - Core CLR	Used in analytics queries		
CLR - NLP	ExtractSkills	Manual skill identification from resume text	Dictionary-based NLP with 100+ skills, returns scored list	NLPProcessor.ExtractSkills() - Returns 'skill:score,skill:score'	Yes - Core CLR	Candidates.ExtractedSkills		
CLR - NLP	CalculateSentiment	Unmeasurable candidate tone in communications	Lexicon-based sentiment analysis (-1 to +1 score)	NLPProcessor.CalculateSentiment() - Returns FLOAT	Yes - Core CLR	InterviewFeedback.SentimentScore		
CLR - Security	GenerateSecureToken	Weak random tokens for password resets	Cryptographically secure random token via RNGCryptoServiceProvider	SecurityFunctions.GenerateSecureToken() - Returns NVARCHAR(256)	Yes - Core CLR	Users.SessionToken		
CLR - Security	HashPassword (PBKDF2)	Plain text password storage is security risk	PBKDF2-SHA256 with 100K iterations, 16-byte salt (OWASP 2024)	SecurityFunctions.HashPassword() - Returns NVARCHAR(500)	Yes - Core CLR	Users.PasswordHash (FIX-05)	Used in user registration	
CLR - Security	VerifyPassword	Password verification without secure comparison	Timing-attack resistant password verification	SecurityFunctions.VerifyPassword() - Returns BIT	Yes - Core CLR		Used in login authentication	
CLR - Security	EncryptSensitiveData	Unencrypted sensitive candidate data (SSN, salary)	AES-256 encryption for PII at rest	SecurityFunctions.EncryptSensitiveData() - Returns NVARCHAR(MAX)	Yes - Core CLR	Can be used for any sensitive fields		
CLR - Statistics	CorrelationCoefficient	Unknown relationships between interview metrics	Pearson correlation between two sets of values	StatisticalFunctions.CorrelationCoefficient() - Returns FLOAT (-1 to 1)	Yes - Core CLR			Metric relationship analysis
CLR - Statistics	Percentile	No percentile ranking for candidate scores	Percentile calculation with linear interpolation	StatisticalFunctions.Percentile() - Returns FLOAT	Yes - Core CLR			Score distribution analysis
CLR - Statistics	ZScore	Difficulty comparing scores across different scales	Standardized score normalization (mean=0, std=1)	StatisticalFunctions.ZScore() - Returns FLOAT	Yes - Core CLR			Cross-metric comparisons
CLR - Statistics	StandardDeviation	Manual statistical analysis for interview scores	Population standard deviation from comma-separated values	StatisticalFunctions.StandardDeviation() - Returns FLOAT	Yes - Core CLR			vw_InterviewerConsistency (interviewer bias detection)
CLR - String Similarity	CosineSimilarity	Text similarity beyond simple keyword matching	Vector space model for resume/job description semantic similarity	StringSimilarity.CosineSimilarity() - Returns FLOAT (0-1)	Yes - Core CLR			Used in candidate matching
CLR - String Similarity	JaroWinklerSimilarity	Poor similarity detection for short strings (names)	Optimized for names with prefix bonus, returns 0-1 score	StringSimilarity.JaroWinklerSimilarity() - Returns FLOAT	Yes - Core CLR		sp_FuzzySearchCandidates	Duplicate candidate detection
CLR - String Similarity	LevenshteinDistance	Exact matching misses typos and variations	Edit distance algorithm for fuzzy name/skill matching	StringSimilarity.LevenshteinDistance() - Returns INT (edit distance)	Yes - Core CLR		sp_FuzzySearchCandidates	
CLR - Timezone	ConvertTimezone	Timezone confusion for global interviews	Accurate timezone conversion using TimeZoneInfo with DST support	TimezoneFunctions.ConvertTimezone() - Returns DATETIME	Yes - Core CLR	Candidates.Timezone	sp_ScheduleInterviewWithTimezone	
CLR - Timezone	GetTimezoneOffset	Unknown UTC offset for timezone	Returns formatted offset string (UTC+06:00)	TimezoneFunctions.GetTimezoneOffset() - Returns NVARCHAR(50)	Yes - Core CLR			Timezone displays
CLR - Timezone	CalculateTimezoneOverlap	Unknown overlapping working hours between zones	Calculates hours of overlap between two timezones in working hours	TimezoneFunctions.CalculateTimezoneOverlap() - Returns INT (hours)	Yes - Core CLR			vw_RemoteCompatibilityMatrix (FIX-08)